Time;Acel Long;Presión CIL;Presión TUB;Longitude;Latitude;Z;Velocity;Direction;Used satellites;CIL KPA;TUB KPA;Acel Long/IIR Filter;DEP KPA;BAL KPA;Ac Corregida;Ac C/ Sg Corregido;Presión Cil.;Filt Press;Presión Diff.;Aceleración;Velocidad Filt;Velocity Simp;Velocity RK4;Distancia;ACrms2;Ac Jerk;Tiempo
s;m/s2;V;V;';';m;km/h;deg.;-;kPa;kPa;m/s2;kPa;kPa;m/s2;m/s2;Kg/cm2;Kg/cm2;Kg/cm2/s;m/s2;Km/h;m/s;;m;m2/s4;m/s3;s
0;-1,0396653;1,3706028;3,1438053;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,900701;494,95129;-0,74354511;0;0;-0,644405210331126;0,644405210331126;0,696746195220399;;-5,18563310199616E-03;;28,8622956727781;0;;;0;0,234864535481534;-38,65
0,01;-0,58738899;1,3683844;3,1419873;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,34608;494,4968;-0,74747962;0;0;-0,192128900331126;0,192128900331126;0,6910342744292;;5,58009138959981E-02;;28,8622956727781;30,7144804680186;;;0;0,235296962017779;-38,64
0,02;-0,54509348;1,371603;3,1440091;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;16,150742;495,00226;-0,74634331;0;0;-0,149833390331126;0,149833390331126;0,699321503178999;;-1,23384080560007E-02;;28,8622956727781;30,7144804680186;40,5610379265338;;0;0,235035454203354;-38,63
0,03;-0,86151648;1,371603;3,1440496;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;16,150742;495,01239;-0,74189574;0;0;-0,466256390331126;0,466256390331126;0,699321503178999;;-2,95895211559993E-02;;28,8622956727781;30,7144804680186;40,5751798833497;;0;0,23488733916897;-38,62
0,04;-0,95601445;1,3704169;3,1430852;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,854209;494,7713;-0,73699617;0;0;-0,560754360331126;0,560754360331126;0,6962675412017;;1,03120459650008E-02;;28,8622956727781;30,7144804680186;40,5866765082056;;0;0,235132969263476;-38,61
0,05;-0,59098512;1,3695025;3,1425142;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,625626;494,62854;-0,73344189;0;0;-0,195725030331126;0,195725030331126;0,6939131504825;;3,58514177319957E-02;;28,8622956727781;30,7144804680186;40,6063937145815;;0;0,235055329849669;-38,6
0,06;-0,68863261;1,3706422;3,1433415;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,910536;494,83536;-0,73227292;0;0;-0,293372520331126;0,293372520331126;0,6968476420646;;-4,49043899199986E-02;;28,8622956727781;30,7144804680186;40,6277955962774;;0;0,235070915146438;-38,59
0,07;-0,8300916;1,3697231;3,1428015;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,680759;494,70035;-0,73439479;0;0;-0,434831510331126;0,434831510331126;0,6944811498183;;2,55058994579982E-02;;28,8622956727781;30,7144804680186;40,6427425195733;;0;0,235611878390362;-38,58
0,08;-0,54817247;1,3701487;3,1429684;-3671,54408;-1802,90247;68,900002;28,82;331,70001;10;15,787154;494,74207;-0,73962831;0;0;-0,152912380331126;0,152912380331126;0,6955769817191;;1,08965239759984E-02;;28,8622956727781;30,7144804680186;40,6573501385492;;0;0,235614117037696;-38,57
