Time;Acel Long;Presión CIL;Presión TUB;Longitude;Latitude;Z;Velocity;Direction;Used satellites;CIL KPA;TUB KPA;Acel Long/IIR Filter;DEP KPA;BAL KPA;Ac Corregida;Ac C/ Sg Corregido;Presión Cil.;Filt Press;Presión Diff.;Aceleración;Velocidad Filt;Velocity Simp;Velocity RK4;Distancia;ACrms2;Ac Jerk;Tiempo
s;m/s2;V;V;';';m;km/h;deg.;-;kPa;kPa;m/s2;kPa;kPa;m/s2;m/s2;Kg/cm2;Kg/cm2;Kg/cm2/s;m/s2;Km/h;m/s;;m;m2/s4;m/s3;s
0;-0,84579229;1,3132906;3,1441736;-3671,23697;-1803,39272;71;64;331,60001;10;1,5726388;495,0434;-0,66285944;0;0;-0,455618101655629;0,455618101655629;0,5491791438458;;-9,11734201300085E-03;;64,0191881073036;0;;;0;0,209384743427579;-11,3
0,01;-0,66551638;1,3113391;3,1426477;-3671,23697;-1803,39272;71;64;331,60001;10;1,0847747;494,66193;-0,67080784;0;0;-0,275342191655629;0,275342191655629;0,5441544353063;;1,60847318709978E-02;;64,0191881073036;64,2774438629168;;;0;0,209060405865185;-11,29
0,02;-0,86582947;1,3115883;3,1427586;-3671,23697;-1803,39272;71;64;331,60001;10;1,1470616;494,68964;-0,68864733;0;0;-0,475655281655629;0,475655281655629;0,5447960737219;;-9,63745019899709E-03;;64,0191881073036;64,2774438629168;85,3186686825201;;0;0,208784654997524;-11,28
0,03;-0,51717067;1,3132083;3,1438375;-3671,23697;-1803,39272;71;64;331,60001;10;1,5520751;494,95935;-0,71099812;0;0;-0,126996481655629;0,126996481655629;0,5489672383819;;-5,42972347840009E-02;;64,0191881073036;64,2774438629168;85,3364521757196;;0;0,209353142088216;-11,27
0,04;-0,70422751;1,3113916;3,142159;-3671,23697;-1803,39272;71;64;331,60001;10;1,0978878;494,53973;-0,73207128;0;0;-0,314053321655629;0,314053321655629;0,5442896119388;;1,63911322380006E-02;;64,0191881073036;64,2774438629168;85,3526959665591;;0;0,208684703823528;-11,26
0,05;-0,92030007;1,3117814;3,1424987;-3671,23697;-1803,39272;71;64;331,60001;10;1,1953413;494,62466;-0,74695957;0;0;-0,530125881655629;0,530125881655629;0,5452932662502;;4,08362169800003E-03;;64,0191881073036;64,2774438629168;85,3652203853585;;0;0,208721925891894;-11,25
0,06;-0,28334081;1,3113332;3,1424177;-3671,23697;-1803,39272;71;64;331,60001;10;1,0832846;494,6044;-0,75236773;0;0;0,106833378344371;-0,106833378344371;0,5441392440276;;4,26952175260009E-02;;64,0191881073036;64,2774438629168;85,380643133438;;0;0,208945501872804;-11,24
0,07;-0,791686;1,3133717;3,1440032;-3671,23697;-1803,39272;71;64;331,60001;10;1,5929043;495,00076;-0,74731135;0;0;-0,401511811655629;0,401511811655629;0,5493879595581;;-6,40273775309996E-02;;64,0191881073036;64,2774438629168;85,3958527939175;;0;0,20867125923945;-11,23
0,08;-0,85197389;1,3117123;3,142525;-3671,23697;-1803,39272;71;64;331,60001;10;1,178056;494,63123;-0,73308927;0;0;-0,461799701655629;0,461799701655629;0,545115348053899;;5,98381893200051E-03;;64,0191881073036;64,2774438629168;85,4044684451569;;0;0,208896064226053;-11,22
0,09;-0,62488967;1,3125086;3,1432402;-3671,23697;-1803,39272;71;64;331,60001;10;1,3771355;494,81003;-0,71265024;0;0;-0,234715481655629;0,234715481655629;0,547165655719799;;-1,11411293109986E-02;;64,0191881073036;64,2774438629168;85,4183643245164;;0;0,208356261517173;-11,21
0,1;-0,92940789;1,3129365;3,1434333;-3671,23697;-1803,39272;71;64;331,60001;10;1,4841259;494,85831;-0,69057792;0;0;-0,539233701655629;0,539233701655629;0,5482674096445;;-5,77654809549966E-02;;64,0191881073036;64,2774438629168;85,4370822448759;;0;0,208613130454639;-11,2
