Time;Acel Long;Presión CIL;Presión TUB;Longitude;Latitude;Z;Velocity;Direction;Used satellites;CIL KPA;TUB KPA;Acel Long/IIR Filter;DEP KPA;BAL KPA;Ac Corregida;Ac C/ Sg Corregido;Presión Cil.;Filt Press;Presión Diff.;Aceleración;Velocidad Filt;Velocity Simp;Velocity RK4;Distancia;ACrms2;Ac Jerk;Tiempo
s;m/s2;V;V;';';m;km/h;deg.;-;kPa;kPa;m/s2;kPa;kPa;m/s2;m/s2;Kg/cm2;Kg/cm2;Kg/cm2/s;m/s2;Km/h;m/s;;m;m2/s4;m/s3;s
0,16;-0,55979526;1,3104331;3,1435716;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,85827708;494,89288;-0,66465181;0;0;-0,164896525960265;0,164896525960265;0,5418216728483;;-8,9911771560014E-03;;55,6324866219418;58,2428068660356;77,5413614369257;;0;0,172808031259205;-23,65
0,17;-0,62907338;1,3101077;3,1429863;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,77691674;494,74655;-0,66379404;0;0;-0,234174645960265;0,234174645960265;0,5409838352061;;1,83865968129993E-02;;55,6324866219418;58,2428068660356;77,5542059698518;;0;0,173091120154626;-23,64
0,18;-0,76245874;1,3107359;3,142916;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,93397498;494,72897;-0,65905994;0;0;-0,367560005960265;0,367560005960265;0,5426013201687;;5,89653344929985E-02;;55,6324866219418;58,2428068660356;77,5656509790179;;0;0,173054933151664;-23,63
0,19;-0,35026854;1,3109028;3,1437147;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,97569823;494,92865;-0,65120572;0;0;4,46301940397353E-02;-4,46301940397353E-02;0,5430310531204;;-0,014977570881004;;55,6324866219418;58,2428068660356;77,577660648904;;0;0,172329794728677;-23,62
0,2;-0,79953635;1,3104939;3,1429982;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,87347627;494,74954;-0,64217216;0;0;-0,404637615960265;0,404637615960265;0,5419782202627;;-1,88449099669974E-02;;55,6324866219418;58,2428068660356;77,5887566224701;;0;0,172365716969999;-23,61
0,21;-0,78935915;1,3086987;3,142066;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,42465329;494,51648;-0,63388157;0;0;-0,394460415960265;0,394460415960265;0,5373559518691;;6,31364991529992E-02;;55,6324866219418;58,2428068660356;77,5969518692762;;0;0,172009311049238;-23,6
0,22;-0,39687705;1,3105154;3,1433189;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,87884068;494,82971;-0,62759358;0;0;-1,97831596026465E-03;1,97831596026465E-03;0,5420335783122;;-5,52550577800126E-03;;55,6324866219418;58,2428068660356;77,6108611347223;;0;0,171791790981016;-23,59
0,23;-0,58594346;1,3105977;3,1434536;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,89940429;494,86337;-0,62420529;0;0;-0,191044725960265;0,191044725960265;0,5422454837761;;-9,67092250799828E-03;;55,6324866219418;58,2428068660356;77,6252075758884;;0;0,172208933567008;-23,58
0,24;-0,7488029;1,3107753;3,1433773;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,94380975;494,8443;-0,62406611;0;0;-0,353904165960265;0,353904165960265;0,5427027670129;;4,65007615799995E-02;;55,6324866219418;58,2428068660356;77,6322811171745;;0;0,171727049463487;-23,57
0,25;-0,55307311;1,3096988;3,1429672;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,67469478;494,74179;-0,62606061;0;0;-0,158174375960265;0,158174375960265;0,5399310023484;1,03785602733868E-02;9,85373281099711E-03;0,254305604438567;55,6324866219418;58,2443326996622;77,6411367803806;;6,46713404488651E-02;2,09297493795431E-03;-23,56
0,26;-0,76953346;1,3100839;3,1430852;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,77095628;494,7713;-0,62789857;0;0;-0,374634725960265;0,374634725960265;0,5409225551327;1,12681795519234E-02;1,84097699500008E-03;0,254611285693103;55,6392319237127;58,2519637018829;77,6538211095867;;6,48269068022949E-02;2,59249705926227E-03;-23,55
0,27;-0,6168043;1,3108218;3,143512;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,95543265;494,87799;-0,62799078;0;0;-0,221905565960265;0,221905565960265;0,5428224948874;1,30791146309266E-02;-6,66098949100191E-03;0,256508367033775;55,6468358100785;58,2611392565684;77,6663597613127;;6,57965423583337E-02;9,09476859353386E-04;-23,54
0,28;-0,39912167;1,313026;3,1459022;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;1,5064776;495,47552;-0,62678385;0;0;-4,22293596026463E-03;4,22293596026463E-03;0,548497853618;1,86818893404601E-02;-4,50588774999972E-02;0,258319602926908;55,6553190400405;58,2703730427089;77,6799119540388;;6,67290172563152E-02;-3,5316889326246E-04;-23,53
0,29;-0,84471112;1,3103211;3,1433272;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,8302629;494,83179;-0,62600696;0;0;-0,449812385960265;0,449812385960265;0,541533296032299;1,16499826655664E-02;-1,89067049989988E-02;0,259002753125918;55,6646881447927;58,2796657799001;77,6897839795649;;6,70824261268055E-02;-6,73524852105404E-05;-23,52
0,3;-0,73743874;1,309762;3,1423211;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,69049001;494,58026;-0,6267662;0;0;-0,342540005960265;0,342540005960265;0,540093729266;1,01613937797664E-02;0,027501364032998;0,260648101230632;55,6749348343041;58,2889956522001;77,697945945451;;6,79374326751337E-02;-1,25033266053642E-03;-23,51
